"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"105";5;-1,09962862453029;0,530610013006025;-1,7133871746661;2,27206021160689;0,662716700161038;0,234536573025562;0,0318666024387328;0,329750764772934;0,120208603565495;0,0265268743767265;"ignorable";"MNAR"
"106";6;-1,52806901639974;0,609580904322119;-1,3239922758983;2,24381147789723;0,638245306521256;0,231685759873184;0,0324792034787073;0,32589519903842;0,118146140606063;0,0270122679642189;"ignorable";"MNAR"
"107";7;-1,03226518698874;0,60226231173323;-1,8074756166708;2,21530512591329;0,705626460190141;0,229965074443302;0,0327250484345182;0,323005408444193;0,118658430585381;0,0277619479432859;"ignorable";"MNAR"
"108";8;-0,971816821800597;0,595724263276535;-2,11621088363089;2,18705975542253;0,716532392257445;0,227217852198801;0,0346539586681635;0,319226649134673;0,117308732490965;0,0290330965002951;"ignorable";"MNAR"
"109";9;-1,24091361327299;0,587596331646217;-1,54747549256157;2,34090726098172;0,709079159628555;0,242233293550175;0,0341009016357341;0,340546837796306;0,124419666558605;0,0284641380798032;"ignorable";"MNAR"
"110";10;-1,32198402343986;0,502573054961931;-1,32649782489112;2,26620454173005;0,618275795629723;0,233227268268913;0,0306809425531139;0,328156099115761;0,118832832953878;0,0253030137714637;"ignorable";"MNAR"
"111";11;-1,42379617184995;0,616657744182411;-1,3776997821614;2,15555912812144;0,717858428807557;0,22501987850421;0,0356952839898944;0,315764715941085;0,115391719737029;0,0296016125024906;"ignorable";"MNAR"
"112";12;-1,02562283651701;0,608412426984385;-1,68994502753747;2,19373235928711;0,726430405521742;0,228277541646015;0,0339147216527676;0,320598018709543;0,117827760926905;0,0288237892144365;"ignorable";"MNAR"
"113";13;-1,00309140569775;0,571609695595283;-1,80461345387534;2,23466017749533;0,732997647671968;0,232384601763198;0,0351734119713756;0,326133706215757;0,119969144540798;0,0293499239168976;"ignorable";"MNAR"
"114";14;-1,37636685017806;0,565710922367972;-1,2319226350695;2,29646887345449;0,695923262699119;0,237983214354286;0,0341152220991753;0,334436235252769;0,121636159481647;0,0282355613459785;"ignorable";"MNAR"
"115";15;-1,21244724073843;0,562101605510176;-1,67362909102733;2,32130220297377;0,665018257164499;0,239546296721167;0,0334058317504674;0,337104577823836;0,122857289223891;0,0278822502303315;"ignorable";"MNAR"
"116";16;-1,25520938337765;0,482949401708914;-1,04837624152258;2,31940851748008;0,690162141414159;0,240069597540865;0,0333721821325363;0,337466876978936;0,122939169949264;0,0279100344814195;"ignorable";"MNAR"
"117";17;-1,19794850456871;0,614457149554674;-1,58352835228114;2,28837211672603;0,742710745879524;0,238050882915311;0,035064984393083;0,334196568595183;0,122405878055812;0,029575645721484;"ignorable";"MNAR"
"118";18;-1,4687834979993;0,546488972244291;-1,35111658236038;2,2366960245567;0,726064743243053;0,233053723893881;0,0352791705768323;0,32711952088775;0,119554570515854;0,0295713570812516;"ignorable";"MNAR"
"119";19;-1,11618298039658;0,558299271080983;-1,23244145677023;2,17458301683288;0,705774193655498;0,226028066024094;0,0327195571914749;0,317169320574507;0,116289537200414;0,0272144372127124;"ignorable";"MNAR"
"120";20;-1,18501158353815;0,578742329678377;-1,88655659303691;2,2647649645167;0,662667232859226;0,233880137551962;0,0328485442477279;0,328947640989748;0,11982947198943;0,0274270279572026;"ignorable";"MNAR"
"121";21;-0,901693375899561;0,587670027529988;-1,40874429346012;2,37735167394115;0,749462883501611;0,246519432621458;0,0344564648351807;0,346098192155209;0,127638490803859;0,0288273664959455;"ignorable";"MNAR"
"122";22;-0,736321462559725;0,507943590458763;-1,71005876581415;2,24830942132856;0,722890538465886;0,233123772453401;0,0329425834750186;0,327185405728453;0,120451555134061;0,0271603602318886;"ignorable";"MNAR"
"123";23;-0,940156533740183;0,561844925136157;-1,55118961948196;2,32923014087664;0,713139620551343;0,24099521820183;0,0331687071179522;0,338598068853646;0,12372174219813;0,0277365216116801;"ignorable";"MNAR"
"124";24;-1,26435089994554;0,553616368854668;-1,75216010575439;2,2676988372538;0,705027146903766;0,235405703682472;0,0369241120240429;0,330887607036465;0,120767615273064;0,0302526093443275;"ignorable";"MNAR"
"125";25;-1,04171735927194;0,510897285097347;-1,74915231476108;2,30190650817814;0,691504224811892;0,23802424703149;0,0332015459817063;0,334601207406523;0,122202788716621;0,0280369264889995;"ignorable";"MNAR"
"126";26;-0,952669858732277;0,577012304723328;-1,82367833621328;2,30142569807613;0,714373885855039;0,238236855536065;0,0346942047442274;0,334959027628167;0,122840343133424;0,0283664510953739;"ignorable";"MNAR"
"127";27;-1,10868613114503;0,581511188695024;-1,68848541431837;2,21672133914191;0,75425891463235;0,231516306794037;0,037908180726363;0,324979461344371;0,119566974871044;0,0308715264671256;"ignorable";"MNAR"
"128";28;-1,22880299614659;0,567573222565889;-1,77399609976513;2,10616953252712;0,709656816523722;0,220174551435786;0,0365349465157041;0,309099840978761;0,11362627474966;0,0310498148457586;"ignorable";"MNAR"
